p	N	T	S
2	22000000	0.0400000000	5250.0000000004
2	47000000	0.0840000000	5250.0000000003
2	100000000	0.1790000000	5250.0000000005
2	220000000	0.3890000000	5249.9999999990
2	470000000	0.8270000000	5249.9999999988
2	1000000000	1.7740000000	5249.9999999989
2	2200000000	3.8910000000	5249.9999999958
2	4700000000	9.8240000000	5249.9999999866
2	10000000000	38.5780000000	5249.9999999623
3	1	0.0010000000	2550.0000000000
3	2	0.0010000000	4575.0000000000
3	4	0.0010000000	5081.2500000000
3	7	0.0010000000	5194.8979591837
3	10	0.0010000000	5223.0000000000
3	22	0.0010000000	5244.4214876033
3	47	0.0010000000	5248.7777274785
3	100	0.0020000000	5249.7300000000
3	220	0.0010000000	5249.9442148760
3	470	0.0010000000	5249.9877772748
3	1000	0.0010000000	5249.9973000000
3	2200	0.0010000000	5249.9994421488
3	4700	0.0010000000	5249.9998777727
3	10000	0.0010000000	5249.9999730000
3	22000	0.0010000000	5249.9999944215
3	47000	0.0010000000	5249.9999987777
3	100000	0.0010000000	5249.9999997300
3	220000	0.0010000000	5249.9999999442
3	470000	0.0020000000	5249.9999999878
3	1000000	0.0020000000	5249.9999999973
3	2200000	0.0030000000	5249.9999999995
3	4700000	0.0070000000	5249.9999999998
3	10000000	0.0130000000	5249.9999999997
3	22000000	0.0270000000	5250.0000000003
3	47000000	0.0580000000	5250.0000000000
3	100000000	0.1220000000	5250.0000000008
3	220000000	0.2610000000	5249.9999999994
3	470000000	0.5500000000	5249.9999999987
3	1000000000	1.1830000000	5249.9999999993
3	2200000000	2.5860000000	5249.9999999955
3	4700000000	6.5330000000	5249.9999999869
3	10000000000	25.8170000000	5249.9999999621
4	1	0.0010000000	2550.0000000000
4	2	0.0020000000	4575.0000000000
4	4	0.0020000000	5081.2500000000
4	7	0.0010000000	5194.8979591837
4	10	0.0010000000	5223.0000000000
4	22	0.0010000000	5244.4214876033
4	47	0.0010000000	5248.7777274785
4	100	0.0020000000	5249.7300000000
4	220	0.0010000000	5249.9442148760
4	470	0.0010000000	5249.9877772748
4	1000	0.0020000000	5249.9973000000
4	2200	0.0010000000	5249.9994421488
4	4700	0.0010000000	5249.9998777727
4	10000	0.0010000000	5249.9999730000
4	22000	0.0010000000	5249.9999944215
4	47000	0.0020000000	5249.9999987777
4	100000	0.0010000000	5249.9999997300
4	220000	0.0020000000	5249.9999999443
4	470000	0.0010000000	5249.9999999878
4	1000000	0.0030000000	5249.9999999973
4	2200000	0.0030000000	5249.9999999995
4	4700000	0.0060000000	5249.9999999999
4	10000000	0.0100000000	5249.9999999998
4	22000000	0.0220000000	5250.0000000001
4	47000000	0.0440000000	5249.9999999994
4	100000000	0.0920000000	5250.0000000001
4	220000000	0.1980000000	5250.0000000002
4	470000000	0.4220000000	5249.9999999997
4	1000000000	0.8920000000	5249.9999999997
4	2200000000	1.9630000000	5249.9999999986
4	4700000000	4.9890000000	5249.9999999955
4	10000000000	19.6010000000	5249.9999999864
5	1	0.0020000000	2550.0000000000
5	2	0.0010000000	4575.0000000000
5	4	0.0020000000	5081.2500000000
5	7	0.0020000000	5194.8979591837
5	10	0.0010000000	5223.0000000000
5	22	0.0010000000	5244.4214876033
5	47	0.0010000000	5248.7777274785
5	100	0.0010000000	5249.7300000000
5	220	0.0010000000	5249.9442148760
5	470	0.0010000000	5249.9877772748
5	1000	0.0010000000	5249.9973000000
5	2200	0.0010000000	5249.9994421488
5	4700	0.0010000000	5249.9998777727
5	10000	0.0020000000	5249.9999730000
5	22000	0.0010000000	5249.9999944215
5	47000	0.0020000000	5249.9999987777
5	100000	0.0010000000	5249.9999997300
5	220000	0.0020000000	5249.9999999442
5	470000	0.0020000000	5249.9999999877
5	1000000	0.0020000000	5249.9999999973
5	2200000	0.0030000000	5249.9999999994
5	4700000	0.0040000000	5249.9999999999
5	10000000	0.0090000000	5250.0000000001
5	22000000	0.0180000000	5250.0000000001
5	47000000	0.0360000000	5249.9999999994
5	100000000	0.0740000000	5250.0000000001
5	220000000	0.1600000000	5250.0000000005
5	470000000	0.3450000000	5249.9999999992
5	1000000000	0.7280000000	5249.9999999999
5	2200000000	1.5890000000	5249.9999999983
5	4700000000	4.1580000000	5249.9999999956
5	10000000000	15.7690000000	5249.9999999864
6	1	0.0010000000	2550.0000000000
6	2	0.0010000000	4575.0000000000
6	4	0.0010000000	5081.2500000000
6	7	0.0020000000	5194.8979591837
6	10	0.0010000000	5223.0000000000
6	22	0.0020000000	5244.4214876033
6	47	0.0010000000	5248.7777274785
6	100	0.0010000000	5249.7300000000
6	220	0.0010000000	5249.9442148760
6	470	0.0010000000	5249.9877772748
6	1000	0.0020000000	5249.9973000000
6	2200	0.0010000000	5249.9994421488
6	4700	0.0010000000	5249.9998777727
6	10000	0.0010000000	5249.9999730000
6	22000	0.0020000000	5249.9999944215
6	47000	0.0010000000	5249.9999987777
6	100000	0.0020000000	5249.9999997300
6	220000	0.0020000000	5249.9999999442
6	470000	0.0020000000	5249.9999999877
6	1000000	0.0030000000	5249.9999999973
6	2200000	0.0030000000	5249.9999999994
6	4700000	0.0040000000	5249.9999999999
6	10000000	0.0090000000	5250.0000000002
6	22000000	0.0160000000	5249.9999999999
6	47000000	0.0320000000	5249.9999999994
6	100000000	0.0630000000	5249.9999999995
6	220000000	0.1360000000	5250.0000000003
6	470000000	0.2870000000	5249.9999999997
6	1000000000	0.6070000000	5250.0000000005
6	2200000000	1.4050000000	5249.9999999981
6	4700000000	3.4670000000	5249.9999999954
6	10000000000	13.1640000000	5249.9999999866
7	1	0.0010000000	2550.0000000000
7	2	0.0020000000	4575.0000000000
7	4	0.0010000000	5081.2500000000
7	7	0.0010000000	5194.8979591837
7	10	0.0010000000	5223.0000000000
7	22	0.0010000000	5244.4214876033
7	47	0.0010000000	5248.7777274785
7	100	0.0010000000	5249.7300000000
7	220	0.0010000000	5249.9442148760
7	470	0.0010000000	5249.9877772748
7	1000	0.0010000000	5249.9973000000
7	2200	0.0010000000	5249.9994421488
7	4700	0.0020000000	5249.9998777727
7	10000	0.0010000000	5249.9999730000
7	22000	0.0010000000	5249.9999944215
7	47000	0.0020000000	5249.9999987777
7	100000	0.0010000000	5249.9999997300
7	220000	0.0010000000	5249.9999999442
7	470000	0.0020000000	5249.9999999877
7	1000000	0.0020000000	5249.9999999973
7	2200000	0.0030000000	5249.9999999995
7	4700000	0.0040000000	5249.9999999998
7	10000000	0.0070000000	5250.0000000001
7	22000000	0.0130000000	5249.9999999998
7	47000000	0.0260000000	5249.9999999998
7	100000000	0.0550000000	5249.9999999997
7	220000000	0.1200000000	5250.0000000004
7	470000000	0.2530000000	5249.9999999995
7	1000000000	0.5340000000	5250.0000000002
7	2200000000	1.1580000000	5249.9999999993
7	4700000000	2.9570000000	5249.9999999983
7	10000000000	11.2490000000	5249.9999999771
8	1	0.0020000000	2550.0000000000
8	2	0.0020000000	4575.0000000000
8	4	0.0020000000	5081.2500000000
8	7	0.0020000000	5194.8979591837
8	10	0.0020000000	5223.0000000000
8	22	0.0020000000	5244.4214876033
8	47	0.0010000000	5248.7777274785
8	100	0.0010000000	5249.7300000000
8	220	0.0010000000	5249.9442148760
8	470	0.0020000000	5249.9877772748
8	1000	0.0010000000	5249.9973000000
8	2200	0.0020000000	5249.9994421488
8	4700	0.0020000000	5249.9998777727
8	10000	0.0020000000	5249.9999730000
8	22000	0.0020000000	5249.9999944215
8	47000	0.0020000000	5249.9999987777
8	100000	0.0010000000	5249.9999997300
8	220000	0.0010000000	5249.9999999442
8	470000	0.0020000000	5249.9999999878
8	1000000	0.0020000000	5249.9999999973
8	2200000	0.0030000000	5249.9999999995
8	4700000	0.0040000000	5249.9999999999
8	10000000	0.0070000000	5250.0000000001
8	22000000	0.0120000000	5249.9999999998
8	47000000	0.0240000000	5249.9999999998
8	100000000	0.0500000000	5249.9999999999
8	220000000	0.1030000000	5250.0000000000
8	470000000	0.2660000000	5249.9999999996
8	1000000000	0.4660000000	5250.0000000002
8	2200000000	1.0520000000	5249.9999999993
8	4700000000	2.5380000000	5249.9999999983
8	10000000000	9.9110000000	5249.9999999952
9	1	0.0020000000	2550.0000000000
9	2	0.0020000000	4575.0000000000
9	4	0.0020000000	5081.2500000000
9	7	0.0020000000	5194.8979591837
9	10	0.0020000000	5223.0000000000
9	22	0.0020000000	5244.4214876033
9	47	0.0020000000	5248.7777274785
9	100	0.0020000000	5249.7300000000
9	220	0.0030000000	5249.9442148760
9	470	0.0010000000	5249.9877772748
9	1000	0.0020000000	5249.9973000000
9	2200	0.0020000000	5249.9994421488
9	4700	0.0020000000	5249.9998777727
9	10000	0.0030000000	5249.9999730000
9	22000	0.0010000000	5249.9999944215
9	47000	0.0030000000	5249.9999987777
9	100000	0.0020000000	5249.9999997300
9	220000	0.0020000000	5249.9999999442
9	470000	0.0020000000	5249.9999999878
9	1000000	0.0020000000	5249.9999999973
9	2200000	0.0030000000	5249.9999999995
9	4700000	0.0030000000	5249.9999999999
9	10000000	0.0060000000	5250.0000000001
9	22000000	0.0110000000	5249.9999999999
9	47000000	0.0220000000	5249.9999999999
9	100000000	0.0440000000	5249.9999999998
9	220000000	0.0940000000	5250.0000000001
9	470000000	0.2040000000	5249.9999999997
9	1000000000	0.4240000000	5250.0000000002
9	2200000000	0.9120000000	5249.9999999993
9	4700000000	2.2580000000	5249.9999999984
9	10000000000	8.8230000000	5249.9999999952
10	1	0.0020000000	2550.0000000000
10	2	0.0020000000	4575.0000000000
10	4	0.0020000000	5081.2500000000
10	7	0.0020000000	5194.8979591837
10	10	0.0020000000	5223.0000000000
10	22	0.0030000000	5244.4214876033
10	47	0.0020000000	5248.7777274785
10	100	0.0020000000	5249.7300000000
10	220	0.0020000000	5249.9442148760
10	470	0.0020000000	5249.9877772748
10	1000	0.0020000000	5249.9973000000
10	2200	0.0020000000	5249.9994421488
10	4700	0.0020000000	5249.9998777727
10	10000	0.0010000000	5249.9999730000
10	22000	0.0030000000	5249.9999944215
10	47000	0.0020000000	5249.9999987777
10	100000	0.0020000000	5249.9999997300
10	220000	0.0020000000	5249.9999999442
10	470000	0.0020000000	5249.9999999878
10	1000000	0.0020000000	5249.9999999973
10	2200000	0.0030000000	5249.9999999995
10	4700000	0.0030000000	5249.9999999999
10	10000000	0.0050000000	5250.0000000001
10	22000000	0.0100000000	5249.9999999999
10	47000000	0.0200000000	5250.0000000000
10	100000000	0.0390000000	5249.9999999998
10	220000000	0.0880000000	5250.0000000001
10	470000000	0.1790000000	5249.9999999998
10	1000000000	0.3770000000	5249.9999999999
10	2200000000	0.8230000000	5249.9999999993
10	4700000000	2.0490000000	5249.9999999982
10	10000000000	8.0930000000	5249.9999999953
11	1	0.0020000000	2550.0000000000
11	2	0.0020000000	4575.0000000000
11	4	0.0020000000	5081.2500000000
11	7	0.0030000000	5194.8979591837
11	10	0.0020000000	5223.0000000000
11	22	0.0030000000	5244.4214876033
11	47	0.0020000000	5248.7777274785
11	100	0.0020000000	5249.7300000000
11	220	0.0010000000	5249.9442148760
11	470	0.0020000000	5249.9877772748
11	1000	0.0020000000	5249.9973000000
11	2200	0.0020000000	5249.9994421488
11	4700	0.0030000000	5249.9998777727
11	10000	0.0030000000	5249.9999730000
11	22000	0.0020000000	5249.9999944215
11	47000	0.0020000000	5249.9999987777
11	100000	0.0020000000	5249.9999997300
11	220000	0.0020000000	5249.9999999442
11	470000	0.0030000000	5249.9999999878
11	1000000	0.0020000000	5249.9999999973
11	2200000	0.0020000000	5249.9999999995
11	4700000	0.0040000000	5249.9999999999
11	10000000	0.0050000000	5250.0000000001
11	22000000	0.0090000000	5249.9999999999
11	47000000	0.0190000000	5249.9999999999
11	100000000	0.0400000000	5249.9999999998
11	220000000	0.0810000000	5250.0000000000
11	470000000	0.1710000000	5249.9999999997
11	1000000000	0.3460000000	5249.9999999999
11	2200000000	0.7850000000	5249.9999999993
11	4700000000	1.8820000000	5249.9999999981
11	10000000000	7.3820000000	5249.9999999952
12	1	0.0020000000	2550.0000000000
12	2	0.0020000000	4575.0000000000
12	4	0.0020000000	5081.2500000000
12	7	0.0020000000	5194.8979591837
12	10	0.0030000000	5223.0000000000
12	22	0.0020000000	5244.4214876033
12	47	0.0050000000	5248.7777274785
12	100	0.0020000000	5249.7300000000
12	220	0.0030000000	5249.9442148760
12	470	0.0020000000	5249.9877772748
12	1000	0.0020000000	5249.9973000000
12	2200	0.0020000000	5249.9994421488
12	4700	0.0040000000	5249.9998777727
12	10000	0.0020000000	5249.9999730000
12	22000	0.0020000000	5249.9999944215
12	47000	0.0020000000	5249.9999987777
12	100000	0.0020000000	5249.9999997300
12	220000	0.0020000000	5249.9999999442
12	470000	0.0020000000	5249.9999999878
12	1000000	0.0030000000	5249.9999999973
12	2200000	0.0030000000	5249.9999999995
12	4700000	0.0030000000	5249.9999999999
12	10000000	0.0060000000	5250.0000000001
12	22000000	0.0130000000	5249.9999999999
12	47000000	0.0300000000	5249.9999999999
12	100000000	0.0350000000	5249.9999999999
12	220000000	0.0950000000	5250.0000000000
12	470000000	0.1560000000	5249.9999999997
12	1000000000	0.4420000000	5249.9999999997
12	2200000000	0.8070000000	5249.9999999994
12	4700000000	1.8970000000	5249.9999999983
12	10000000000	7.5570000000	5249.9999999952
1	1	0.0000000000	2550.0000000000
1	2	0.0010000000	4575.0000000000
1	4	0.0000000000	5081.2500000000
1	7	0.0000000000	5194.8979591837
1	10	0.0000000000	5223.0000000000
1	22	0.0000000000	5244.4214876033
1	47	0.0000000000	5248.7777274785
1	100	0.0000000000	5249.7300000000
1	220	0.0000000000	5249.9442148760
1	470	0.0000000000	5249.9877772748
1	1000	0.0000000000	5249.9973000000
1	2200	0.0000000000	5249.9994421488
1	4700	0.0000000000	5249.9998777728
1	10000	0.0000000000	5249.9999730000
1	22000	0.0000000000	5249.9999944215
1	47000	0.0010000000	5249.9999987777
1	100000	0.0010000000	5249.9999997299
1	220000	0.0010000000	5249.9999999442
1	470000	0.0020000000	5249.9999999877
1	1000000	0.0030000000	5249.9999999975
1	2200000	0.0080000000	5249.9999999997
1	4700000	0.0170000000	5249.9999999993
1	10000000	0.0370000000	5250.0000000004
1	22000000	0.0810000000	5250.0000000003
1	47000000	0.1690000000	5250.0000000014
1	100000000	0.3600000000	5249.9999999997
1	220000000	0.7940000000	5249.9999999990
1	470000000	1.6660000000	5249.9999999987
1	1000000000	3.5790000000	5249.9999999958
1	2200000000	7.8290000000	5249.9999999861
1	4700000000	19.6380000000	5249.9999999630
1	10000000000	77.4840000000	5249.9999998957
2	1	0.0000000000	2550.0000000000
2	2	0.0010000000	4575.0000000000
2	4	0.0000000000	5081.2500000000
2	7	0.0010000000	5194.8979591837
2	10	0.0010000000	5223.0000000000
2	22	0.0010000000	5244.4214876033
2	47	0.0000000000	5248.7777274785
2	100	0.0010000000	5249.7300000000
2	220	0.0010000000	5249.9442148760
2	470	0.0010000000	5249.9877772748
2	1000	0.0000000000	5249.9973000000
2	2200	0.0010000000	5249.9994421488
2	4700	0.0010000000	5249.9998777727
2	10000	0.0010000000	5249.9999730000
2	22000	0.0000000000	5249.9999944215
2	47000	0.0010000000	5249.9999987778
2	100000	0.0010000000	5249.9999997300
2	220000	0.0020000000	5249.9999999441
2	470000	0.0020000000	5249.9999999877
2	1000000	0.0030000000	5249.9999999973
2	2200000	0.0050000000	5249.9999999995
2	4700000	0.0090000000	5250.0000000001
2	10000000	0.0190000000	5249.9999999996
2	22000000	0.0410000000	5250.0000000004
2	47000000	0.0850000000	5250.0000000003
2	100000000	0.1780000000	5250.0000000005
2	220000000	0.3950000000	5249.9999999990
2	470000000	0.8390000000	5249.9999999988
2	1000000000	1.7890000000	5249.9999999989
2	2200000000	3.8930000000	5249.9999999958
2	4700000000	9.8060000000	5249.9999999866
2	10000000000	38.8540000000	5249.9999999623
3	1	0.0010000000	2550.0000000000
3	2	0.0010000000	4575.0000000000
3	4	0.0010000000	5081.2500000000
3	7	0.0010000000	5194.8979591837
3	10	0.0010000000	5223.0000000000
3	22	0.0010000000	5244.4214876033
3	47	0.0010000000	5248.7777274785
3	100	0.0010000000	5249.7300000000
3	220	0.0010000000	5249.9442148760
3	470	0.0010000000	5249.9877772748
3	1000	0.0010000000	5249.9973000000
3	2200	0.0010000000	5249.9994421488
3	4700	0.0010000000	5249.9998777727
3	10000	0.0010000000	5249.9999730000
3	22000	0.0020000000	5249.9999944215
3	47000	0.0020000000	5249.9999987777
3	100000	0.0010000000	5249.9999997300
3	220000	0.0010000000	5249.9999999442
3	470000	0.0020000000	5249.9999999878
3	1000000	0.0020000000	5249.9999999973
3	2200000	0.0040000000	5249.9999999995
3	4700000	0.0070000000	5249.9999999998
3	10000000	0.0120000000	5249.9999999997
3	22000000	0.0270000000	5250.0000000003
3	47000000	0.0570000000	5250.0000000000
3	100000000	0.1190000000	5250.0000000008
3	220000000	0.2620000000	5249.9999999994
3	470000000	0.5550000000	5249.9999999987
3	1000000000	1.1810000000	5249.9999999993
3	2200000000	2.6140000000	5249.9999999955
3	4700000000	6.5620000000	5249.9999999869
3	10000000000	25.8850000000	5249.9999999621
4	1	0.0010000000	2550.0000000000
4	2	0.0010000000	4575.0000000000
4	4	0.0010000000	5081.2500000000
4	7	0.0010000000	5194.8979591837
4	10	0.0010000000	5223.0000000000
4	22	0.0020000000	5244.4214876033
4	47	0.0020000000	5248.7777274785
4	100	0.0020000000	5249.7300000000
4	220	0.0010000000	5249.9442148760
4	470	0.0010000000	5249.9877772748
4	1000	0.0020000000	5249.9973000000
4	2200	0.0010000000	5249.9994421488
4	4700	0.0020000000	5249.9998777727
4	10000	0.0010000000	5249.9999730000
4	22000	0.0020000000	5249.9999944215
4	47000	0.0020000000	5249.9999987777
4	100000	0.0010000000	5249.9999997300
4	220000	0.0020000000	5249.9999999443
4	470000	0.0010000000	5249.9999999878
4	1000000	0.0020000000	5249.9999999973
4	2200000	0.0040000000	5249.9999999995
4	4700000	0.0050000000	5249.9999999999
4	10000000	0.0100000000	5249.9999999998
4	22000000	0.0210000000	5250.0000000001
4	47000000	0.0430000000	5249.9999999994
4	100000000	0.0910000000	5250.0000000001
4	220000000	0.1990000000	5250.0000000002
4	470000000	0.4220000000	5249.9999999997
4	1000000000	0.8940000000	5249.9999999997
4	2200000000	1.9730000000	5249.9999999986
4	4700000000	4.9390000000	5249.9999999955
4	10000000000	19.5340000000	5249.9999999864
5	1	0.0020000000	2550.0000000000
5	2	0.0010000000	4575.0000000000
5	4	0.0020000000	5081.2500000000
5	7	0.0010000000	5194.8979591837
5	10	0.0020000000	5223.0000000000
5	22	0.0010000000	5244.4214876033
5	47	0.0010000000	5248.7777274785
5	100	0.0010000000	5249.7300000000
5	220	0.0010000000	5249.9442148760
5	470	0.0010000000	5249.9877772748
5	1000	0.0010000000	5249.9973000000
5	2200	0.0010000000	5249.9994421488
5	4700	0.0010000000	5249.9998777727
5	10000	0.0010000000	5249.9999730000
5	22000	0.0010000000	5249.9999944215
5	47000	0.0010000000	5249.9999987777
5	100000	0.0020000000	5249.9999997300
5	220000	0.0020000000	5249.9999999442
5	470000	0.0010000000	5249.9999999877
5	1000000	0.0020000000	5249.9999999973
5	2200000	0.0030000000	5249.9999999994
5	4700000	0.0050000000	5249.9999999999
5	10000000	0.0090000000	5250.0000000001
5	22000000	0.0180000000	5250.0000000001
5	47000000	0.0370000000	5249.9999999994
5	100000000	0.0760000000	5250.0000000001
5	220000000	0.1640000000	5250.0000000005
5	470000000	0.3490000000	5249.9999999992
5	1000000000	0.7330000000	5249.9999999999
5	2200000000	1.6140000000	5249.9999999983
5	4700000000	3.9730000000	5249.9999999956
5	10000000000	15.6380000000	5249.9999999864
6	1	0.0010000000	2550.0000000000
6	2	0.0010000000	4575.0000000000
6	4	0.0010000000	5081.2500000000
6	7	0.0010000000	5194.8979591837
6	10	0.0010000000	5223.0000000000
6	22	0.0020000000	5244.4214876033
6	47	0.0010000000	5248.7777274785
6	100	0.0010000000	5249.7300000000
6	220	0.0020000000	5249.9442148760
6	470	0.0030000000	5249.9877772748
6	1000	0.0030000000	5249.9973000000
6	2200	0.0020000000	5249.9994421488
6	4700	0.0010000000	5249.9998777727
6	10000	0.0020000000	5249.9999730000
6	22000	0.0010000000	5249.9999944215
6	47000	0.0020000000	5249.9999987777
6	100000	0.0010000000	5249.9999997300
6	220000	0.0010000000	5249.9999999442
6	470000	0.0020000000	5249.9999999877
6	1000000	0.0030000000	5249.9999999973
6	2200000	0.0030000000	5249.9999999994
6	4700000	0.0050000000	5249.9999999999
6	10000000	0.0080000000	5250.0000000002
6	22000000	0.0140000000	5249.9999999999
6	47000000	0.0300000000	5249.9999999994
6	100000000	0.0640000000	5249.9999999995
6	220000000	0.1370000000	5250.0000000003
6	470000000	0.2890000000	5249.9999999997
6	1000000000	0.6090000000	5250.0000000005
6	2200000000	1.3470000000	5249.9999999981
6	4700000000	3.3620000000	5249.9999999954
6	10000000000	13.0980000000	5249.9999999866
7	1	0.0010000000	2550.0000000000
7	2	0.0020000000	4575.0000000000
7	4	0.0010000000	5081.2500000000
7	7	0.0010000000	5194.8979591837
7	10	0.0010000000	5223.0000000000
7	22	0.0020000000	5244.4214876033
7	47	0.0010000000	5248.7777274785
7	100	0.0010000000	5249.7300000000
7	220	0.0010000000	5249.9442148760
7	470	0.0010000000	5249.9877772748
7	1000	0.0010000000	5249.9973000000
7	2200	0.0010000000	5249.9994421488
7	4700	0.0020000000	5249.9998777727
7	10000	0.0010000000	5249.9999730000
7	22000	0.0010000000	5249.9999944215
7	47000	0.0010000000	5249.9999987777
7	100000	0.0010000000	5249.9999997300
7	220000	0.0010000000	5249.9999999442
7	470000	0.0020000000	5249.9999999877
7	1000000	0.0020000000	5249.9999999973
7	2200000	0.0020000000	5249.9999999995
7	4700000	0.0030000000	5249.9999999998
7	10000000	0.0060000000	5250.0000000001
7	22000000	0.0140000000	5249.9999999998
7	47000000	0.0260000000	5249.9999999998
7	100000000	0.0540000000	5249.9999999997
7	220000000	0.1170000000	5250.0000000004
7	470000000	0.2500000000	5249.9999999995
7	1000000000	0.5320000000	5250.0000000002
7	2200000000	1.1620000000	5249.9999999993
7	4700000000	2.8840000000	5249.9999999983
7	10000000000	11.3070000000	5249.9999999771
8	1	0.0020000000	2550.0000000000
8	2	0.0020000000	4575.0000000000
8	4	0.0020000000	5081.2500000000
8	7	0.0010000000	5194.8979591837
8	10	0.0010000000	5223.0000000000
8	22	0.0010000000	5244.4214876033
8	47	0.0010000000	5248.7777274785
8	100	0.0020000000	5249.7300000000
8	220	0.0020000000	5249.9442148760
8	470	0.0020000000	5249.9877772748
8	1000	0.0020000000	5249.9973000000
8	2200	0.0020000000	5249.9994421488
8	4700	0.0020000000	5249.9998777727
8	10000	0.0020000000	5249.9999730000
8	22000	0.0010000000	5249.9999944215
8	47000	0.0010000000	5249.9999987777
8	100000	0.0010000000	5249.9999997300
8	220000	0.0020000000	5249.9999999442
8	470000	0.0020000000	5249.9999999878
8	1000000	0.0030000000	5249.9999999973
8	2200000	0.0020000000	5249.9999999995
8	4700000	0.0030000000	5249.9999999999
8	10000000	0.0060000000	5250.0000000001
8	22000000	0.0120000000	5249.9999999998
8	47000000	0.0230000000	5249.9999999998
8	100000000	0.0490000000	5249.9999999999
8	220000000	0.1030000000	5250.0000000000
8	470000000	0.2210000000	5249.9999999996
8	1000000000	0.4740000000	5250.0000000002
8	2200000000	1.0360000000	5249.9999999993
8	4700000000	2.5490000000	5249.9999999983
8	10000000000	9.9960000000	5249.9999999952
9	1	0.0020000000	2550.0000000000
9	2	0.0020000000	4575.0000000000
9	4	0.0020000000	5081.2500000000
9	7	0.0020000000	5194.8979591837
9	10	0.0020000000	5223.0000000000
9	22	0.0020000000	5244.4214876033
9	47	0.0020000000	5248.7777274785
9	100	0.0020000000	5249.7300000000
9	220	0.0020000000	5249.9442148760
9	470	0.0020000000	5249.9877772748
9	1000	0.0020000000	5249.9973000000
9	2200	0.0020000000	5249.9994421488
9	4700	0.0020000000	5249.9998777727
9	10000	0.0020000000	5249.9999730000
9	22000	0.0020000000	5249.9999944215
9	47000	0.0020000000	5249.9999987777
9	100000	0.0020000000	5249.9999997300
9	220000	0.0020000000	5249.9999999442
9	470000	0.0020000000	5249.9999999878
9	1000000	0.0020000000	5249.9999999973
9	2200000	0.0020000000	5249.9999999995
9	4700000	0.0040000000	5249.9999999999
9	10000000	0.0060000000	5250.0000000001
9	22000000	0.0110000000	5249.9999999999
9	47000000	0.0220000000	5249.9999999999
9	100000000	0.0430000000	5249.9999999998
9	220000000	0.0920000000	5250.0000000001
9	470000000	0.2000000000	5249.9999999997
9	1000000000	0.4140000000	5250.0000000002
9	2200000000	0.9100000000	5249.9999999993
9	4700000000	2.2990000000	5249.9999999984
9	10000000000	8.8570000000	5249.9999999952
10	1	0.0020000000	2550.0000000000
10	2	0.0020000000	4575.0000000000
10	4	0.0020000000	5081.2500000000
10	7	0.0020000000	5194.8979591837
10	10	0.0020000000	5223.0000000000
10	22	0.0010000000	5244.4214876033
10	47	0.0020000000	5248.7777274785
10	100	0.0020000000	5249.7300000000
10	220	0.0020000000	5249.9442148760
10	470	0.0020000000	5249.9877772748
10	1000	0.0020000000	5249.9973000000
10	2200	0.0020000000	5249.9994421488
10	4700	0.0020000000	5249.9998777727
10	10000	0.0020000000	5249.9999730000
10	22000	0.0020000000	5249.9999944215
10	47000	0.0020000000	5249.9999987777
10	100000	0.0010000000	5249.9999997300
10	220000	0.0020000000	5249.9999999442
10	470000	0.0020000000	5249.9999999878
10	1000000	0.0020000000	5249.9999999973
