p	N	T	S
1	1	0.0000000000	2550.0000000000
1	2	0.0010000000	4575.0000000000
1	4	0.0010000000	5081.2500000000
1	7	0.0000000000	5194.8979591837
1	10	0.0000000000	5223.0000000000
1	22	0.0010000000	5244.4214876033
1	47	0.0000000000	5248.7777274785
1	100	0.0000000000	5249.7300000000
1	220	0.0000000000	5249.9442148760
1	470	0.0010000000	5249.9877772748
1	1000	0.0000000000	5249.9973000000
1	2200	0.0000000000	5249.9994421488
1	4700	0.0010000000	5249.9998777728
1	10000	0.0010000000	5249.9999730000
1	22000	0.0010000000	5249.9999944215
1	47000	0.0000000000	5249.9999987777
1	100000	0.0000000000	5249.9999997299
1	220000	0.0010000000	5249.9999999442
1	470000	0.0020000000	5249.9999999877
1	1000000	0.0030000000	5249.9999999975
1	2200000	0.0080000000	5249.9999999997
1	4700000	0.0160000000	5249.9999999993
1	10000000	0.0360000000	5250.0000000004
1	22000000	0.0780000000	5250.0000000003
1	47000000	0.1650000000	5250.0000000014
1	100000000	0.3520000000	5249.9999999997
1	220000000	0.7680000000	5249.9999999990
1	470000000	1.6590000000	5249.9999999987
1	1000000000	3.5200000000	5249.9999999958
1	2200000000	7.6970000000	5249.9999999861
1	4700000000	19.3190000000	5249.9999999630
1	10000000000	76.7380000000	5249.9999998957
2	1	0.0010000000	2550.0000000000
2	2	0.0010000000	4575.0000000000
2	4	0.0010000000	5081.2500000000
2	7	0.0010000000	5194.8979591837
2	10	0.0010000000	5223.0000000000
2	22	0.0010000000	5244.4214876033
2	47	0.0010000000	5248.7777274785
2	100	0.0010000000	5249.7300000000
2	220	0.0000000000	5249.9442148760
2	470	0.0010000000	5249.9877772748
2	1000	0.0010000000	5249.9973000000
2	2200	0.0010000000	5249.9994421488
2	4700	0.0010000000	5249.9998777727
2	10000	0.0010000000	5249.9999730000
2	22000	0.0010000000	5249.9999944215
2	47000	0.0010000000	5249.9999987778
2	100000	0.0010000000	5249.9999997300
2	220000	0.0010000000	5249.9999999441
2	470000	0.0010000000	5249.9999999877
2	1000000	0.0020000000	5249.9999999973
2	2200000	0.0060000000	5249.9999999995
2	4700000	0.0090000000	5250.0000000001
2	10000000	0.0190000000	5249.9999999996
